id,headline,date,lead_paragraph,word_count,keywords
nyt://article/caa282d5-2a83-51a8-b90e-d4ae8fb678c4,New York Celebrates Billy Strayhorn’s Centennial With Special ‘A Train’ Ride,2015-11-27,"All aboard the A Train! This Sunday, Jazz at Lincoln Center will celebrate the centennial of jazz great Billy Strayhorn with a series of performances — including a surprise pop-up concert on the subway that inspired Strayhorn’s most famous composition, “Take the A Train.”",251,"['Jazz', 'Music', 'Subways', 'Ellington, Duke', 'Marsalis, Wynton', 'Jazz at Lincoln Center', 'New York Transit Museum']"
nyt://article/caa282d5-2a83-51a8-b90e-d4ae8fb678c4,New York Celebrates Billy Strayhorn’s Centennial With Special ‘A Train’ Ride,2015-11-27,"All aboard the A Train! This Sunday, Jazz at Lincoln Center will celebrate the centennial of jazz great Billy Strayhorn with a series of performances — including a surprise pop-up concert on the subway that inspired Strayhorn’s most famous composition, “Take the A Train.”",251,"['Jazz', 'Music', 'Subways', 'Ellington, Duke', 'Marsalis, Wynton', 'Jazz at Lincoln Center', 'New York Transit Museum']"
nyt://article/9c83ead4-f1a5-50aa-bfa0-ca38aa328f5f,"The Mets, the Royals and Charlie Parker, Linked by Autumn in New York",2015-10-30,"KANSAS CITY, Mo. — After the Mets and the Royals had secured spots in the World Series, observers searched for connections between the teams. There seemed to be few.",1074,"['Waldstein, David', 'Baseball', 'Music', 'Kansas City (Kan)', 'New York City', 'Jazz', 'Birdland (Manhattan, NY)', 'Count Basie Orchestra', 'New York Giants (Baseball)', 'Coltrane, John', 'ARMSTRONG, LOUIS', 'Ellington, Duke', 'Parker, Charlie', 'Kansas City Royals', 'New York Mets', 'World Series']"
nyt://article/9c83ead4-f1a5-50aa-bfa0-ca38aa328f5f,"The Mets, the Royals and Charlie Parker, Linked by Autumn in New York",2015-10-30,"KANSAS CITY, Mo. — After the Mets and the Royals had secured spots in the World Series, observers searched for connections between the teams. There seemed to be few.",1074,"['Waldstein, David', 'Baseball', 'Music', 'Kansas City (Kan)', 'New York City', 'Jazz', 'Birdland (Manhattan, NY)', 'Count Basie Orchestra', 'New York Giants (Baseball)', 'Coltrane, John', 'ARMSTRONG, LOUIS', 'Ellington, Duke', 'Parker, Charlie', 'Kansas City Royals', 'New York Mets', 'World Series']"
nyt://article/6c2eb905-dba9-5002-b15b-ef6fffab839f,"Gary Keys, Filmmaker Who Documented Duke Ellington, Dies at 81",2015-08-31,"Gary Keys, a filmmaker whose documentaries captured some of the most important figures in jazz from the 1960s through the 1980s — notably Duke Ellington, the subject of three of his films — died on Aug. 9 in Manhattan. He was 81.",523,"['Deaths (Obituaries)', 'Documentary Films and Programs', 'Ellington, Duke', 'Jazz', 'Keys, Gary (1934-2015)']"
nyt://article/6c2eb905-dba9-5002-b15b-ef6fffab839f,"Gary Keys, Filmmaker Who Documented Duke Ellington, Dies at 81",2015-08-31,"Gary Keys, a filmmaker whose documentaries captured some of the most important figures in jazz from the 1960s through the 1980s — notably Duke Ellington, the subject of three of his films — died on Aug. 9 in Manhattan. He was 81.",523,"['Deaths (Obituaries)', 'Documentary Films and Programs', 'Ellington, Duke', 'Jazz', 'Keys, Gary (1934-2015)']"
nyt://article/29979557-d932-5933-8df3-b3972d472f9a,Nancy Harms Celebrates Duke Ellington,2015-09-08,"“A royal-blue night sky and twinkling stars: the perfect moment.” With those words, the complicated jazz singer Nancy Harms introduced her rendition of “Prelude to a Kiss” on Sunday evening at the Metropolitan Room, where she sang a program of Duke Ellington-related songs titled “Ellington at Night.”",326,"['Music', 'Jazz', 'Metropolitan Room', 'Harms, Nancy (Singer)']"
nyt://article/29979557-d932-5933-8df3-b3972d472f9a,Nancy Harms Celebrates Duke Ellington,2015-09-08,"“A royal-blue night sky and twinkling stars: the perfect moment.” With those words, the complicated jazz singer Nancy Harms introduced her rendition of “Prelude to a Kiss” on Sunday evening at the Metropolitan Room, where she sang a program of Duke Ellington-related songs titled “Ellington at Night.”",326,"['Music', 'Jazz', 'Metropolitan Room', 'Harms, Nancy (Singer)']"
nyt://article/680d6c85-388a-592b-99e4-980ce29222b1,In Performance: T. Oliver Reid,2015-03-17,"This week’s video features the singer T. Oliver Reid, with Lawrence Yurman on piano, singing the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his cabaret show “Drop Me Off in Harlem.” The song was composed as an instrumental piece by Duke Ellington, who introduced it on record in 1933; the lyricist Mitchell Parish later added the words.",202,"['Theater', 'Ellington, Duke', 'Reid, T Oliver']"
nyt://article/680d6c85-388a-592b-99e4-980ce29222b1,In Performance: T. Oliver Reid,2015-03-17,"This week’s video features the singer T. Oliver Reid, with Lawrence Yurman on piano, singing the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his cabaret show “Drop Me Off in Harlem.” The song was composed as an instrumental piece by Duke Ellington, who introduced it on record in 1933; the lyricist Mitchell Parish later added the words.",202,"['Theater', 'Ellington, Duke', 'Reid, T Oliver']"
nyt://video/ee4da642-e1e6-5223-9d04-5c660904fff0,In Performance: T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings “Take the A Train,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” on Sunday at the Metropolitan Room.",0,"['Reid, T Oliver', 'Theater', 'Music', 'Metropolitan Room', 'Ellington, Duke']"
nyt://video/ee4da642-e1e6-5223-9d04-5c660904fff0,In Performance: T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings “Take the A Train,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” on Sunday at the Metropolitan Room.",0,"['Reid, T Oliver', 'Theater', 'Music', 'Metropolitan Room', 'Ellington, Duke']"
nyt://video/08ccd683-7bd0-53c1-814a-aba075128625,In Performance | T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” playing on March 22 at the Metropolitan Room.",0,"['Theater', 'Ellington, Duke', 'Metropolitan Room', 'Music', 'Reid, T Oliver']"
nyt://video/08ccd683-7bd0-53c1-814a-aba075128625,In Performance | T. Oliver Reid,2015-03-16,"Mr. Reid, with Lawrence Yurman on piano, sings the jazz standard “Sophisticated Lady,” a number Mr. Reid performs in his show “Drop Me Off in Harlem,” playing on March 22 at the Metropolitan Room.",0,"['Theater', 'Ellington, Duke', 'Metropolitan Room', 'Music', 'Reid, T Oliver']"
nyt://article/d42ab2a2-dfe0-5ecd-8d86-51ebda38f393,"Corrections: September 3, 2015",2015-09-03,INTERNATIONAL,594,[]
nyt://article/d42ab2a2-dfe0-5ecd-8d86-51ebda38f393,"Corrections: September 3, 2015",2015-09-03,INTERNATIONAL,594,[]
nyt://article/3b254fe3-253b-5132-ba6f-0243dbbfd45d,Paperback Row,2015-01-16,"FDR AND THE JEWS, by Richard Breitman and Allan J. Lichtman. (Belknap/Harvard University, $19.95.) What, exactly, did Franklin Roosevelt do during his presidency, from 1933 to 1945, to protect the Jews of Europe from Nazi genocide? This thorough revisiting of the record reveals a concerned leader whose efforts on behalf of Jews were significant yet whose moral role was tempered by the political realities of depression and war.",472,['Books and Literature']
nyt://article/3b254fe3-253b-5132-ba6f-0243dbbfd45d,Paperback Row,2015-01-16,"FDR AND THE JEWS, by Richard Breitman and Allan J. Lichtman. (Belknap/Harvard University, $19.95.) What, exactly, did Franklin Roosevelt do during his presidency, from 1933 to 1945, to protect the Jews of Europe from Nazi genocide? This thorough revisiting of the record reveals a concerned leader whose efforts on behalf of Jews were significant yet whose moral role was tempered by the political realities of depression and war.",472,['Books and Literature']
nyt://article/0fc5ebe9-e4fc-51e6-a7cc-81c21eaf9c9e,‘Harlem Nights/U Street Lights’ Samples Two Jazz Sources,2015-05-04,"Diplomatic exchange in jazz typically involves a long but traversable distance, and some lofty intentions. “Harlem Nights/U Street Lights” promises something a little closer to ground level. Jointly organized by the broad-minded jazz pianists (and Harlem residents) Jason Moran and Marc Cary, it’s a look at the connections between African-American musical communities in Harlem and in Washington — a story that goes back even further than Duke Ellington, though he’s sure to be a part of it. ",151,['Jazz']
nyt://article/0fc5ebe9-e4fc-51e6-a7cc-81c21eaf9c9e,‘Harlem Nights/U Street Lights’ Samples Two Jazz Sources,2015-05-04,"Diplomatic exchange in jazz typically involves a long but traversable distance, and some lofty intentions. “Harlem Nights/U Street Lights” promises something a little closer to ground level. Jointly organized by the broad-minded jazz pianists (and Harlem residents) Jason Moran and Marc Cary, it’s a look at the connections between African-American musical communities in Harlem and in Washington — a story that goes back even further than Duke Ellington, though he’s sure to be a part of it. ",151,['Jazz']
nyt://article/89bb66c5-5b40-551b-8073-c0ebf7926e8e,Word of the Day | cantankerous,2015-05-05,"cantankerous • \kan-ˈtaN-k(ə-)rəs, kən-\ • adjective",205,[]
nyt://article/89bb66c5-5b40-551b-8073-c0ebf7926e8e,Word of the Day | cantankerous,2015-05-05,"cantankerous • \kan-ˈtaN-k(ə-)rəs, kən-\ • adjective",205,[]
nyt://article/32793b5a-700a-57dc-b246-54a99ef05599,Review: Brian Landrus Trio’s ‘The Deep Below’ Is All About the Bass End,2015-06-15,BRIAN LANDRUS TRIO,386,"['Music', 'Jazz', 'Hart, Billy', 'Plaxico, Lonnie', 'Landrus, Brian']"
nyt://article/32793b5a-700a-57dc-b246-54a99ef05599,Review: Brian Landrus Trio’s ‘The Deep Below’ Is All About the Bass End,2015-06-15,BRIAN LANDRUS TRIO,386,"['Music', 'Jazz', 'Hart, Billy', 'Plaxico, Lonnie', 'Landrus, Brian']"
nyt://article/9393dac1-e42f-5670-b779-2baa6323e96a,"Review: ‘Pompie’s Place,’ a Blues Club in a Time Warp",2015-07-31,"Some of New York City’s finer jazz and blues musicians performed Wednesday evening at “Pompie’s Place,” an imaginary club within a club at Don’t Tell Mama. Pompie is the theatrical sobriquet of the show’s impresario, Arthur Pomposello, the former host of the Oak Room at the Algonquin Hotel. Addressing the audience as though it were filled with children about to embark on a scary Halloween thrill ride, he pretended the club was “a den of vice.”",281,"['Holden, Stephen (Per)', 'Music', 'Jazz', ""Don't Tell Mama"", 'Blues Music']"
nyt://article/9393dac1-e42f-5670-b779-2baa6323e96a,"Review: ‘Pompie’s Place,’ a Blues Club in a Time Warp",2015-07-31,"Some of New York City’s finer jazz and blues musicians performed Wednesday evening at “Pompie’s Place,” an imaginary club within a club at Don’t Tell Mama. Pompie is the theatrical sobriquet of the show’s impresario, Arthur Pomposello, the former host of the Oak Room at the Algonquin Hotel. Addressing the audience as though it were filled with children about to embark on a scary Halloween thrill ride, he pretended the club was “a den of vice.”",281,"['Holden, Stephen (Per)', 'Music', 'Jazz', ""Don't Tell Mama"", 'Blues Music']"
nyt://article/06f324c9-990a-50a0-a1f1-eb4400fd8763,"Clark Terry, Master of Jazz Trumpet, Dies at 94",2015-02-22,"Clark Terry, one of the most popular and influential jazz trumpeters of his generation and an enthusiastic advocate of jazz education, died on Saturday in Pine Bluff, Ark. He was 94.",1453,"['Deaths (Obituaries)', 'Music', 'Jazz', 'Terry, Clark (1920-2015)']"
nyt://article/06f324c9-990a-50a0-a1f1-eb4400fd8763,"Clark Terry, Master of Jazz Trumpet, Dies at 94",2015-02-22,"Clark Terry, one of the most popular and influential jazz trumpeters of his generation and an enthusiastic advocate of jazz education, died on Saturday in Pine Bluff, Ark. He was 94.",1453,"['Deaths (Obituaries)', 'Music', 'Jazz', 'Terry, Clark (1920-2015)']"
nyt://article/e735b576-c35c-52a2-87aa-625ffbd6df21,Review: Jessye Norman’s Salute to the Love Song at Carnegie Hall,2015-02-16,"There was a moment late in Jessye Norman’s Carnegie Hall recital of popular standards on Saturday evening when the clouds parted, a shaft of lightning illuminated the hall, and an adoring audience that had waited patiently for a burst of vocal fireworks erupted in a spontaneous standing ovation. ",359,"['Music', 'Classical Music', 'Norman, Jessye', 'Markham, Mark']"
nyt://article/e735b576-c35c-52a2-87aa-625ffbd6df21,Review: Jessye Norman’s Salute to the Love Song at Carnegie Hall,2015-02-16,"There was a moment late in Jessye Norman’s Carnegie Hall recital of popular standards on Saturday evening when the clouds parted, a shaft of lightning illuminated the hall, and an adoring audience that had waited patiently for a burst of vocal fireworks erupted in a spontaneous standing ovation. ",359,"['Music', 'Classical Music', 'Norman, Jessye', 'Markham, Mark']"
nyt://article/7f637146-143f-59fb-bfc7-04d453264393,Review: Dance Heginbotham Shows Off Its Eccentric Style at the Joyce,2015-10-12,"There may come a day when reviewers of work by the choreographer John Heginbotham will not feel the need to mention Mark Morris. But that time has not yet come, especially since one of the best parts of the pleasing program that Dance Heginbotham performed at the Joyce Theater on Saturday had roots in the years that Mr. Heginbotham spent as a member of the Mark Morris Dance Group.",371,"['Dancing', 'Heginbotham, John', 'Joyce Theater', 'Dance Heginbotham']"
nyt://article/7f637146-143f-59fb-bfc7-04d453264393,Review: Dance Heginbotham Shows Off Its Eccentric Style at the Joyce,2015-10-12,"There may come a day when reviewers of work by the choreographer John Heginbotham will not feel the need to mention Mark Morris. But that time has not yet come, especially since one of the best parts of the pleasing program that Dance Heginbotham performed at the Joyce Theater on Saturday had roots in the years that Mr. Heginbotham spent as a member of the Mark Morris Dance Group.",371,"['Dancing', 'Heginbotham, John', 'Joyce Theater', 'Dance Heginbotham']"
nyt://article/f2b0ec02-bd7a-5774-8462-c4d8746319d2,"Review: Jane Monheit, at Birdland, Alternates Latin Textures With a Moaning Cry",2015-10-15,"The time is long past since the jazz singer Jane Monheit could be described as a musical prodigy. Endowed with a voice of phenomenal beauty and flexibility, Ms. Monheit was hailed as potentially the next big thing in jazz more than 15 years ago, but with caveats. A formidable vocal technician, she often seemed disconnected from her material, content to make a gorgeous sound and execute tricky vocal improvisations that frequently came across as empty displays of virtuosity.",339,"['Music', 'Jazz', 'Birdland (Manhattan, NY)', 'Fitzgerald, Ella', 'Monheit, Jane']"
nyt://article/f2b0ec02-bd7a-5774-8462-c4d8746319d2,"Review: Jane Monheit, at Birdland, Alternates Latin Textures With a Moaning Cry",2015-10-15,"The time is long past since the jazz singer Jane Monheit could be described as a musical prodigy. Endowed with a voice of phenomenal beauty and flexibility, Ms. Monheit was hailed as potentially the next big thing in jazz more than 15 years ago, but with caveats. A formidable vocal technician, she often seemed disconnected from her material, content to make a gorgeous sound and execute tricky vocal improvisations that frequently came across as empty displays of virtuosity.",339,"['Music', 'Jazz', 'Birdland (Manhattan, NY)', 'Fitzgerald, Ella', 'Monheit, Jane']"
nyt://article/b68ce175-62d7-5256-bcb5-bc4614b9e8a2,"Review: Maria Schneider Orchestra’s ‘The Thompson Fields,’ Connections to the Natural World",2015-06-01,MARIA SCHNEIDER ORCHESTRA,385,"['Music', 'Jazz', 'Schneider, Maria']"
nyt://article/b68ce175-62d7-5256-bcb5-bc4614b9e8a2,"Review: Maria Schneider Orchestra’s ‘The Thompson Fields,’ Connections to the Natural World",2015-06-01,MARIA SCHNEIDER ORCHESTRA,385,"['Music', 'Jazz', 'Schneider, Maria']"
nyt://article/fc591f51-6e84-50d2-ba55-9f4122415340,Review: Terri Lyne Carrington’s ‘Mosaic Project’ Sequel,2015-08-12,TERRI LYNE CARRINGTON,440,"['Music', 'Carrington, Terri Lyne']"
nyt://article/fc591f51-6e84-50d2-ba55-9f4122415340,Review: Terri Lyne Carrington’s ‘Mosaic Project’ Sequel,2015-08-12,TERRI LYNE CARRINGTON,440,"['Music', 'Carrington, Terri Lyne']"
nyt://article/13f12dee-fcc8-5d63-84e2-f229b5c407e2,"Review: Alvin Ailey, at City Center, Maintains Polished Approach to Familiar Footwork",2015-12-17,"Under the leadership of Robert Battle, Alvin Ailey American Dance Theater has expanded and updated its repertory, mostly for the good. But as the dancers take on new challenges, how do they handle the perennial task of making old material look fresh? The All Ailey program at City Center on Wednesday night was as good a test case as any.",403,"['Dancing', 'Battle, Robert', 'New York City Center Theater', 'AILEY, ALVIN, AMERICAN DANCE THEATER', 'Blues Suite (Dance)', 'Revelations (Dance)']"
nyt://article/13f12dee-fcc8-5d63-84e2-f229b5c407e2,"Review: Alvin Ailey, at City Center, Maintains Polished Approach to Familiar Footwork",2015-12-17,"Under the leadership of Robert Battle, Alvin Ailey American Dance Theater has expanded and updated its repertory, mostly for the good. But as the dancers take on new challenges, how do they handle the perennial task of making old material look fresh? The All Ailey program at City Center on Wednesday night was as good a test case as any.",403,"['Dancing', 'Battle, Robert', 'New York City Center Theater', 'AILEY, ALVIN, AMERICAN DANCE THEATER', 'Blues Suite (Dance)', 'Revelations (Dance)']"
nyt://article/9eeb79a7-f231-5fbb-9b71-46002a520fd9,Jazz That Spans Generations,2015-02-28,"Willie Ruff, the French horn player and double bassist, enjoyed a celebrated musical partnership with the pianist Dwike Mitchell that, over more than half a century, took him to stages around the world, from the segregated South to Communist China to Town Hall in Manhattan. It was a long and winding road that ended with Mr. Mitchell’s death in April 2013. ",939,"['Music', 'Jazz', 'New Haven (Conn)', 'Yale School of Music', 'Diehl, Aaron']"
nyt://article/9eeb79a7-f231-5fbb-9b71-46002a520fd9,Jazz That Spans Generations,2015-02-28,"Willie Ruff, the French horn player and double bassist, enjoyed a celebrated musical partnership with the pianist Dwike Mitchell that, over more than half a century, took him to stages around the world, from the segregated South to Communist China to Town Hall in Manhattan. It was a long and winding road that ended with Mr. Mitchell’s death in April 2013. ",939,"['Music', 'Jazz', 'New Haven (Conn)', 'Yale School of Music', 'Diehl, Aaron']"
nyt://article/82de6dd9-18fc-5405-9565-fb22c4b350ff,Paperback Row,2015-05-29,"IN THE KINGDOM OF ICE: The Grand and Terrible Polar Voyage of the USS Jeannette, by Hampton Sides. (Anchor, $16.95.) In June 1881, two years into its Arctic expedition, the U.S.S. Jeannette’s hull was crushed by ice, forcing the commander, George Washington De Long (1844-81), and his 32-man crew to abandon ship 1,000 miles north of Siberia. Sides’s first-rate narrative recounts the horrors (crude amputations, madness, starvation) in the crew’s desperate struggle to survive.",486,['Books and Literature']
nyt://article/82de6dd9-18fc-5405-9565-fb22c4b350ff,Paperback Row,2015-05-29,"IN THE KINGDOM OF ICE: The Grand and Terrible Polar Voyage of the USS Jeannette, by Hampton Sides. (Anchor, $16.95.) In June 1881, two years into its Arctic expedition, the U.S.S. Jeannette’s hull was crushed by ice, forcing the commander, George Washington De Long (1844-81), and his 32-man crew to abandon ship 1,000 miles north of Siberia. Sides’s first-rate narrative recounts the horrors (crude amputations, madness, starvation) in the crew’s desperate struggle to survive.",486,['Books and Literature']
nyt://article/84d14323-791d-56f6-ad70-14e49bc1ecbd,Times Critics’ Guide: What to Do This Week,2015-07-20,Looking to break out of a cultural rut?,476,['Culture (Arts)']
